City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
485,nchelenge,-9.3451,28.734,294.4,58,27,2.11,ZM,1686177213
486,mammoth lakes,37.6485,-118.9721,287.55,39,100,6.17,US,1686177213
487,santa terezinha,-29.9002,-50.0904,292.94,75,35,2.63,BR,1686177213
488,maganoy,6.9167,124.4333,298.62,86,89,0.23,PH,1686177214
489,solwezi,-12.1688,26.3894,288.87,56,0,1.3,ZM,1686177214
490,ganye,8.4333,12.0667,294.98,92,45,1.45,NG,1686177214
491,hasaki,35.7333,140.8333,298.27,68,96,2.65,JP,1686177214
492,mazatlan,23.2167,-106.4167,302.13,75,0,5.66,MX,1686177024
493,thunder bay,48.4001,-89.3168,295.14,28,20,2.06,CA,1686177215
494,kruisfontein,-34.0033,24.7314,283.64,84,22,2.79,ZA,1686177215
495,sarmiento,-45.5882,-69.07,279.91,56,100,1.41,AR,1686177215
496,undurkhaan,47.3194,110.6556,286.61,32,50,2.87,MN,1686177215
497,itati,-27.2704,-58.2446,294.65,67,6,2.83,AR,1686177215
498,las tunas,20.9617,-76.9511,298.51,89,100,3.44,CU,1686177215
499,plastun,44.7561,136.2939,285.95,96,100,1.18,RU,1686177216
500,manicore,-5.8092,-61.3003,298.66,88,98,1.04,BR,1686177216
501,klina,42.6217,20.5778,289.81,92,100,0.41,XK,1686177216
502,lembeni,-3.7833,37.6167,290.42,89,0,3.02,TZ,1686177216
503,port macquarie,-31.4333,152.9167,288.88,73,38,4.06,AU,1686177217
504,faya-largeau,17.9257,19.1043,304.92,37,100,2.73,TD,1686177217
505,ulsteinvik,62.3432,5.8487,284.68,85,69,4.47,NO,1686177217
506,new baltimore,42.6811,-82.7369,295.47,30,20,7.2,US,1686176947
507,mitchell,43.7094,-98.0298,307.14,27,0,7.72,US,1686177217
508,oblivskaya,48.5362,42.5014,287.71,72,24,1.25,RU,1686177218
509,manta,-0.95,-80.7333,302.03,89,75,7.6,EC,1686177197
510,arraial do cabo,-22.9661,-42.0278,288.13,100,0,0.0,BR,1686177218
511,pesqueira,-8.3578,-36.6964,292.84,98,58,3.46,BR,1686177218
512,lahad datu,5.0268,118.327,298.55,89,84,0.72,MY,1686177218
513,kayangel,8.0823,134.7173,301.45,79,100,6.4,PW,1686177219
